IZ_CODE,IZ_NAME,CouncilArea,NRSCouncil,cx,cy,row,col
S02000260,Auchinairn,S12000045,East Dunbartonshire,261644,669646,4,14
S02000261,Woodhill East,S12000045,East Dunbartonshire,262949,670041,3,15
S02000262,Woodhill West,S12000045,East Dunbartonshire,262130,670391,3,14
S02000263,Westerton East,S12000045,East Dunbartonshire,254577,670587,3,10
S02000264,Bishopbriggs West and Cadder,S12000045,East Dunbartonshire,261250,670929,2,14
S02000265,Westerton West,S12000045,East Dunbartonshire,253768,670975,3,9
S02000266,Kessington East,S12000045,East Dunbartonshire,255891,671136,3,11
S02000267,Lenzie South,S12000045,East Dunbartonshire,266134,671487,3,16
S02000268,Bishopbriggs North and Kenmure,S12000045,East Dunbartonshire,260220,671667,2,13
S02000269,Kessington West,S12000045,East Dunbartonshire,255040,671692,2,11
S02000270,Lenzie North,S12000045,East Dunbartonshire,263833,672281,1,14
S02000271,South Castlehill and Thorn,S12000045,East Dunbartonshire,252895,672372,2,8
S02000272,Kilmardinny West,S12000045,East Dunbartonshire,254284,672745,2,10
S02000273,Kilmardinny East,S12000045,East Dunbartonshire,255098,672942,1,11
S02000274,Rosebank and Waterside,S12000045,East Dunbartonshire,268800,672936,3,17
S02000275,Kirkintilloch South,S12000045,East Dunbartonshire,266076,672938,2,15
S02000276,North Castlehill and Thorn,S12000045,East Dunbartonshire,253533,673599,2,9
S02000277,Hillhead,S12000045,East Dunbartonshire,266399,673815,2,16
S02000278,Torrance and Balmore,S12000045,East Dunbartonshire,260775,674427,1,13
S02000279,Keystone and Dougalston,S12000045,East Dunbartonshire,257266,674428,1,12
S02000280,Harestanes,S12000045,East Dunbartonshire,266820,674509,1,16
S02000281,Kirkintilloch West,S12000045,East Dunbartonshire,265624,674637,1,15
S02000282,Barloch,S12000045,East Dunbartonshire,255795,674939,0,12
S02000283,Twechar and Harestanes East,S12000045,East Dunbartonshire,270039,675354,2,17
