source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,ALL,ALL-LO,exp-LO,CHI-LO,exp-LOOM,CHI-LOOM,exp-offC,CHI-offC,exp-allC,CHI-allC
S02000260,S02000690,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000260,S02000691,59,7,5,9,-54,-52,-50,80,21,25,6.8,34,5.5,15,-2.5,46,-4.7
S02000260,S02000692,7,0,3,7,-4,-7,0,17,10,5,0.7,7,-0.1,3,-0.1,10,0.1
S02000260,S02000693,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000260,S02000695,0,0,0,17,0,0,17,17,17,5,-2.3,7,-2.7,3,-1.8,10,2.3
S02000260,S02000697,3,0,0,5,-3,-3,2,8,5,2,0.3,3,-0.2,1,-1.2,5,0.2
S02000260,S02000701,3,3,0,3,-3,0,0,9,6,3,0.1,4,1.1,2,-1.3,5,-1
S02000260,S02000702,3,0,0,3,-3,-3,0,6,3,2,0.8,3,0.3,1,-1.1,3,-0.2
S02000260,S02000710,0,3,0,5,0,3,5,8,8,2,-1.6,3,-0.2,1,-1.2,5,0.2
S02000260,S02000716,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000260,S02000993,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000260,S02001000,4,0,0,3,-4,-4,-1,7,3,2,1.2,3,0.6,1,-1.1,4,-0.5
S02000260,S02001010,5,3,0,0,-5,-2,-5,8,3,2,1.6,3,2.5,1,-1.2,5,-2.1
S02000260,S02001015,0,6,0,0,0,6,0,6,6,2,-1.4,3,2.2,1,-1.1,3,-1.9
S02000260,S02001162,0,5,0,3,0,5,3,8,8,2,-1.6,3,0.9,1,-1.2,5,-0.7
S02000260,S02001185,7,0,7,0,0,-7,-7,14,7,4,1.3,6,0.4,3,2.7,8,-0.4
S02000260,S02001199,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000261,S02000260,3,4,0,14,-3,1,11,21,18,7,-1.4,9,-0.6,4,-2,12,0.6
S02000261,S02000262,11,0,0,10,-11,-11,-1,21,10,7,1.7,9,0.7,4,-2,12,-0.6
S02000261,S02000264,3,7,0,39,-3,4,36,49,46,15,-3.1,21,-2.4,9,-3,28,2
S02000261,S02000268,3,0,0,8,-3,-3,5,11,8,3,-0.2,5,-0.8,2,-1.4,6,0.7
S02000261,S02000270,0,0,19,9,19,0,9,28,28,9,-3,12,-3.5,5,6.1,16,3
S02000261,S02000274,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000261,S02000275,10,0,0,3,-10,-10,-7,13,3,4,3,6,1.9,2,-1.6,7,-1.6
S02000261,S02000276,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000261,S02000279,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000261,S02000281,7,6,4,8,-3,-1,1,25,18,8,-0.3,11,0.7,5,-0.3,14,-0.6
S02000261,S02000287,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000261,S02000633,3,0,0,4,-3,-3,1,7,4,2,0.6,3,0,1,-1.1,4,0
S02000261,S02000634,10,0,0,6,-10,-10,-4,16,6,5,2.2,7,1.2,3,-1.7,9,-1.1
S02000261,S02000642,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000261,S02000644,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000261,S02000648,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000261,S02000651,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000261,S02000655,31,7,85,27,54,-24,-4,150,119,47,-2.3,64,-3.2,28,10.9,86,2.8
S02000261,S02000656,0,7,0,0,0,7,0,7,7,2,-1.5,3,2.3,1,-1.1,4,-2
S02000261,S02000658,49,9,12,37,-37,-40,-12,107,58,33,2.7,46,1.9,20,-1.8,61,-1.6
S02000261,S02000659,3,0,3,0,0,-3,-3,6,3,2,0.8,3,0.3,1,1.8,3,-0.2
S02000261,S02000660,10,0,0,3,-10,-10,-7,13,3,4,3,6,1.9,2,-1.6,7,-1.6
S02000261,S02000661,3,0,4,4,1,-3,1,11,8,3,-0.2,5,-0.8,2,1.4,6,0.7
S02000261,S02000664,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000261,S02000665,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000261,S02000666,0,0,0,10,0,0,10,10,10,3,-1.8,4,-2.1,2,-1.4,6,1.8
S02000261,S02000667,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000261,S02000668,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000261,S02000669,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000261,S02000670,6,6,0,0,-6,0,-6,12,6,4,1.2,5,3.1,2,-1.5,7,-2.6
S02000261,S02000672,0,0,0,15,0,0,15,15,15,5,-2.2,6,-2.5,3,-1.7,9,2.2
S02000261,S02000675,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000261,S02000676,8,0,3,5,-5,-8,-3,16,8,5,1.4,7,0.5,3,0,9,-0.4
S02000261,S02000680,4,3,0,5,-4,-1,1,12,8,4,0.1,5,0.8,2,-1.5,7,-0.7
S02000261,S02000684,0,6,0,0,0,6,0,6,6,2,-1.4,3,2.2,1,-1.1,3,-1.9
S02000261,S02000687,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000261,S02000688,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000261,S02000689,15,0,0,5,-15,-15,-10,20,5,6,3.5,9,2.2,4,-1.9,11,-1.9
S02000261,S02000691,38,0,3,4,-35,-38,-34,45,7,14,6.4,19,4.3,8,-1.8,26,-3.7
S02000261,S02000692,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000261,S02000694,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000261,S02000695,0,0,0,11,0,0,11,11,11,3,-1.9,5,-2.2,2,-1.4,6,1.9
S02000261,S02000705,0,5,0,3,0,5,3,8,8,2,-1.6,3,0.9,1,-1.2,5,-0.7
S02000261,S02000923,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000261,S02001010,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000261,S02001013,0,5,0,5,0,5,5,10,10,3,-1.8,4,0.4,2,-1.4,6,-0.3
S02000261,S02001014,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000261,S02001015,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000261,S02001185,5,0,3,0,-2,-5,-5,8,3,2,1.6,3,0.9,1,1.2,5,-0.7
S02000261,S02001187,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000262,S02000260,10,7,5,10,-5,-3,0,32,22,10,0,14,0.9,6,-0.4,18,-0.8
S02000262,S02000262,10,10,6,37,-4,0,27,63,53,20,-2.2,27,-1.3,12,-1.7,36,1.1
S02000262,S02000264,12,6,4,63,-8,-6,51,85,73,26,-2.8,36,-3,16,-3,49,2.6
S02000262,S02000268,11,0,4,16,-7,-11,5,31,20,10,0.4,13,-0.6,6,-0.7,18,0.5
S02000262,S02000270,0,0,27,9,27,0,9,36,36,11,-3.3,15,-3.9,7,7.9,21,3.4
S02000262,S02000274,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000262,S02000275,10,0,5,3,-5,-10,-7,18,8,6,1.9,8,0.8,3,0.9,10,-0.7
S02000262,S02000277,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000262,S02000278,5,0,0,4,-5,-5,-1,9,4,3,1.3,4,0.6,2,-1.3,5,-0.5
S02000262,S02000279,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000262,S02000281,16,6,6,14,-10,-10,-2,42,26,13,0.8,18,1,8,-0.6,24,-0.8
S02000262,S02000285,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000262,S02000597,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000262,S02000607,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000262,S02000609,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000262,S02000610,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000262,S02000611,0,11,0,5,0,11,5,16,16,5,-2.2,7,1.6,3,-1.7,9,-1.4
S02000262,S02000625,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000262,S02000628,9,0,0,0,-9,-9,-9,9,0,3,3.7,4,2.6,2,-1.3,5,-2.3
S02000262,S02000633,9,0,0,6,-9,-9,-3,15,6,5,2,6,1,3,-1.7,9,-0.9
S02000262,S02000634,10,0,0,0,-10,-10,-10,10,0,3,3.9,4,2.8,2,-1.4,6,-2.4
S02000262,S02000635,6,0,0,3,-6,-6,-3,9,3,3,1.9,4,1.1,2,-1.3,5,-1
S02000262,S02000640,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000262,S02000644,5,0,9,0,4,-5,-5,14,9,4,0.3,6,-0.4,3,4,8,0.3
S02000262,S02000647,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000262,S02000649,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000262,S02000651,3,3,5,0,2,0,-3,11,8,3,-0.2,5,0.6,2,2.1,6,-0.5
S02000262,S02000655,47,15,128,47,81,-32,0,237,190,74,-3.1,101,-3.9,44,12.7,136,3.3
S02000262,S02000656,6,13,5,0,-1,7,-6,24,18,7,-0.5,10,2.8,4,0.3,14,-2.4
S02000262,S02000658,89,5,24,85,-65,-84,-4,203,114,63,3.2,86,0.8,38,-2.2,117,-0.7
S02000262,S02000659,0,0,3,3,3,0,3,6,6,2,-1.4,3,-1.6,1,1.8,3,1.4
S02000262,S02000660,13,4,3,3,-10,-9,-10,23,10,7,2.2,10,2.3,4,-0.6,13,-2
S02000262,S02000661,12,0,6,6,-6,-12,-6,24,12,7,1.7,10,0.6,4,0.7,14,-0.5
S02000262,S02000663,0,7,0,3,0,7,3,10,10,3,-1.8,4,1.3,2,-1.4,6,-1.1
S02000262,S02000664,10,0,3,0,-7,-10,-10,13,3,4,3,6,1.9,2,0.4,7,-1.6
S02000262,S02000665,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000262,S02000666,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000262,S02000668,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000262,S02000669,0,0,4,4,4,0,4,8,8,2,-1.6,3,-1.8,1,2.1,5,1.6
S02000262,S02000670,20,14,3,7,-17,-6,-13,44,24,14,1.7,19,3.5,8,-1.8,25,-3
S02000262,S02000671,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000262,S02000672,0,0,0,20,0,0,20,20,20,6,-2.5,9,-2.9,4,-1.9,11,2.5
S02000262,S02000674,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000262,S02000675,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000262,S02000676,0,0,5,4,5,0,4,9,9,3,-1.7,4,-2,2,2.6,5,1.7
S02000262,S02000680,4,0,0,8,-4,-4,4,12,8,4,0.1,5,-0.5,2,-1.5,7,0.4
S02000262,S02000684,0,6,0,0,0,6,0,6,6,2,-1.4,3,2.2,1,-1.1,3,-1.9
S02000262,S02000687,7,0,0,9,-7,-7,2,16,9,5,0.9,7,0.1,3,-1.7,9,-0.1
S02000262,S02000688,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000262,S02000689,24,0,0,10,-24,-24,-14,34,10,11,4.1,14,2.5,6,-2.5,20,-2.2
