source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,ALL,ALL-LO,exp-LO,CHI-LO,exp-LOOM,CHI-LOOM,exp-offC,CHI-offC,exp-allC,CHI-allC
S02000287,S02000264,14,4,6,29,-8,-10,15,53,39,17,-0.6,23,-1,10,-1.2,30,0.8
S02000287,S02000267,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000287,S02000268,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000287,S02000269,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000287,S02000270,3,7,19,9,16,4,6,38,35,12,-2.6,16,-1.5,7,4.5,22,1.3
S02000287,S02000274,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000287,S02000275,24,6,0,6,-24,-18,-18,36,12,11,3.8,15,3.8,7,-2.6,21,-3.2
S02000287,S02000277,3,0,0,7,-3,-3,4,10,7,3,-0.1,4,-0.6,2,-1.4,6,0.5
S02000287,S02000278,22,3,3,15,-19,-19,-7,43,21,13,2.4,18,1.6,8,-1.8,25,-1.4
S02000287,S02000279,0,0,4,10,4,0,10,14,14,4,-2.1,6,-2.4,3,0.9,8,2.1
S02000287,S02000280,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000287,S02000281,58,48,12,49,-46,-10,-9,167,109,52,0.8,71,4.2,31,-3.4,96,-3.6
S02000287,S02000282,6,0,0,0,-6,-6,-6,6,0,2,3,3,2.2,1,-1.1,3,-1.9
S02000287,S02000283,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000287,S02000286,23,3,0,16,-23,-20,-7,42,19,13,2.7,18,1.9,8,-2.8,24,-1.7
S02000287,S02000287,54,34,5,76,-49,-20,22,169,115,53,0.2,72,1.9,31,-4.7,97,-1.6
S02000287,S02000597,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000287,S02000603,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000287,S02000608,7,0,0,0,-7,-7,-7,7,0,2,3.3,3,2.3,1,-1.1,4,-2
S02000287,S02000628,7,0,0,0,-7,-7,-7,7,0,2,3.3,3,2.3,1,-1.1,4,-2
S02000287,S02000633,9,4,0,4,-9,-5,-5,17,8,5,1.6,7,2.1,3,-1.8,10,-1.8
S02000287,S02000634,9,0,0,0,-9,-9,-9,9,0,3,3.7,4,2.6,2,-1.3,5,-2.3
S02000287,S02000635,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000287,S02000644,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000287,S02000651,0,0,7,5,7,0,5,12,12,4,-1.9,5,-2.3,2,3.2,7,1.9
S02000287,S02000654,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000287,S02000655,21,8,80,35,59,-13,14,144,123,45,-3.6,61,-4.1,27,10.3,83,3.5
S02000287,S02000656,0,5,0,0,0,5,0,5,5,2,-1.2,2,2,1,-1,3,-1.7
S02000287,S02000658,65,4,10,55,-55,-61,-10,134,69,42,3.6,57,1.6,25,-3,77,-1.4
S02000287,S02000659,3,0,3,0,0,-3,-3,6,3,2,0.8,3,0.3,1,1.8,3,-0.2
S02000287,S02000660,10,0,0,0,-10,-10,-10,10,0,3,3.9,4,2.8,2,-1.4,6,-2.4
S02000287,S02000661,7,0,6,5,-1,-7,-2,18,11,6,0.6,8,-0.2,3,1.5,10,0.2
S02000287,S02000663,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000287,S02000664,7,0,0,0,-7,-7,-7,7,0,2,3.3,3,2.3,1,-1.1,4,-2
S02000287,S02000667,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000287,S02000668,3,0,0,3,-3,-3,0,6,3,2,0.8,3,0.3,1,-1.1,3,-0.2
S02000287,S02000670,3,0,0,3,-3,-3,0,6,3,2,0.8,3,0.3,1,-1.1,3,-0.2
S02000287,S02000672,0,0,0,18,0,0,18,18,18,6,-2.4,8,-2.8,3,-1.8,10,2.4
S02000287,S02000676,6,5,0,8,-6,-1,2,19,13,6,0,8,1,4,-1.9,11,-0.9
S02000287,S02000680,0,3,0,6,0,3,6,9,9,3,-1.7,4,-0.4,2,-1.3,5,0.4
S02000287,S02000684,3,4,0,0,-3,1,-3,7,4,2,0.6,3,2.3,1,-1.1,4,-2
S02000287,S02000688,10,0,0,4,-10,-10,-6,14,4,4,2.7,6,1.7,3,-1.6,8,-1.4
S02000287,S02000689,26,0,0,6,-26,-26,-20,32,6,10,5.1,14,3.4,6,-2.4,18,-2.9
S02000287,S02000691,36,3,0,0,-36,-33,-36,39,3,12,6.8,17,5.5,7,-2.7,22,-4.7
S02000287,S02000695,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000287,S02000697,11,0,0,0,-11,-11,-11,11,0,3,4.1,5,2.9,2,-1.4,6,-2.5
S02000287,S02000701,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000287,S02000702,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000287,S02000705,10,0,0,3,-10,-10,-7,13,3,4,3,6,1.9,2,-1.6,7,-1.6
S02000287,S02000711,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000287,S02000713,0,0,0,13,0,0,13,13,13,4,-2,6,-2.4,2,-1.6,7,2
S02000287,S02000716,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000287,S02000923,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000287,S02000998,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000287,S02001000,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000287,S02001010,5,4,0,4,-5,-1,-1,13,8,4,0.5,6,1.5,2,-1.6,7,-1.3
S02000287,S02001013,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000287,S02001015,0,5,0,0,0,5,0,5,5,2,-1.2,2,2,1,-1,3,-1.7
S02000287,S02001161,14,0,0,0,-14,-14,-14,14,0,4,4.6,6,3.3,3,-1.6,8,-2.8
S02000287,S02001185,11,7,6,0,-5,-4,-11,24,13,7,1.3,10,2.4,4,0.7,14,-2.1
S02000287,S02001189,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000310,S02000310,12,16,6,66,-6,4,54,100,88,31,-3.4,43,-2.2,19,-2.9,57,1.9
S02000310,S02000311,0,0,0,30,0,0,30,30,30,9,-3.1,13,-3.6,6,-2.4,17,3.1
S02000310,S02000312,0,0,5,5,5,0,5,10,10,3,-1.8,4,-2.1,2,2.3,6,1.8
S02000310,S02000313,9,0,0,14,-9,-9,5,23,14,7,0.7,10,-0.3,4,-2.1,13,0.2
S02000310,S02000316,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000310,S02000317,8,0,6,14,-2,-8,6,28,20,9,-0.2,12,-1.1,5,0.4,16,1
S02000310,S02000318,0,0,0,10,0,0,10,10,10,3,-1.8,4,-2.1,2,-1.4,6,1.8
S02000310,S02000319,5,0,0,9,-5,-5,4,14,9,4,0.3,6,-0.4,3,-1.6,8,0.3
S02000310,S02000321,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000323,3,0,0,5,-3,-3,2,8,5,2,0.3,3,-0.2,1,-1.2,5,0.2
S02000310,S02000324,7,0,0,10,-7,-7,3,17,10,5,0.7,7,-0.1,3,-1.8,10,0.1
S02000310,S02000325,5,0,0,4,-5,-5,-1,9,4,3,1.3,4,0.6,2,-1.3,5,-0.5
S02000310,S02000326,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000327,8,0,0,14,-8,-8,6,22,14,7,0.4,9,-0.4,4,-2,13,0.4
S02000310,S02000328,7,4,0,10,-7,-3,3,21,14,7,0.2,9,0.7,4,-2,12,-0.6
S02000310,S02000584,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000310,S02000585,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000310,S02000587,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000310,S02000588,0,5,0,3,0,5,3,8,8,2,-1.6,3,0.9,1,-1.2,5,-0.7
S02000310,S02000590,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000310,S02000593,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000596,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000310,S02000597,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000598,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000310,S02000599,3,13,0,3,-3,10,0,19,16,6,-1.2,8,2.8,4,-1.9,11,-2.4
S02000310,S02000601,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000310,S02000602,3,3,0,4,-3,0,1,10,7,3,-0.1,4,0.8,2,-1.4,6,-0.7
S02000310,S02000603,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000310,S02000607,23,0,0,0,-23,-23,-23,23,0,7,5.9,10,4.2,4,-2.1,13,-3.6
S02000310,S02000608,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000310,S02000609,0,0,0,8,0,0,8,8,8,2,-1.6,3,-1.8,1,-1.2,5,1.6
S02000310,S02000610,3,0,0,3,-3,-3,0,6,3,2,0.8,3,0.3,1,-1.1,3,-0.2
S02000310,S02000611,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000310,S02000612,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000310,S02000614,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000622,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000310,S02000624,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000625,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000310,S02000627,6,0,0,0,-6,-6,-6,6,0,2,3,3,2.2,1,-1.1,3,-1.9
S02000310,S02000628,12,0,0,0,-12,-12,-12,12,0,4,4.3,5,3.1,2,-1.5,7,-2.6
S02000310,S02000631,0,5,0,5,0,5,5,10,10,3,-1.8,4,0.4,2,-1.4,6,-0.3
S02000310,S02000632,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000310,S02000633,5,6,0,0,-5,1,-5,11,6,3,0.9,5,2.9,2,-1.4,6,-2.5
S02000310,S02000634,10,0,0,8,-10,-10,-2,18,8,6,1.9,8,0.8,3,-1.8,10,-0.7
S02000310,S02000638,9,0,0,0,-9,-9,-9,9,0,3,3.7,4,2.6,2,-1.3,5,-2.3
S02000310,S02000644,3,3,8,0,5,0,-3,14,11,4,-0.7,6,0,3,3.4,8,0
S02000310,S02000647,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000651,0,0,5,12,5,0,12,17,17,5,-2.3,7,-2.7,3,1,10,2.3
S02000310,S02000655,37,9,123,48,86,-28,11,217,180,68,-3.7,92,-4.8,40,13.1,125,4.1
S02000310,S02000656,3,3,0,0,-3,0,-3,6,3,2,0.8,3,2.2,1,-1.1,3,-1.9
S02000310,S02000658,31,3,17,63,-14,-28,32,114,83,36,-0.8,48,-2.1,21,-0.9,66,1.8
S02000310,S02000660,29,4,0,0,-29,-25,-29,33,4,10,5.8,14,5.1,6,-2.5,19,-4.4
S02000310,S02000661,7,0,9,5,2,-7,-2,21,14,7,0.2,9,-0.6,4,2.6,12,0.6
S02000310,S02000664,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000310,S02000665,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000310,S02000669,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000310,S02000672,0,0,0,28,0,0,28,28,28,9,-3,12,-3.5,5,-2.3,16,3
S02000310,S02000684,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000310,S02000689,7,0,0,0,-7,-7,-7,7,0,2,3.3,3,2.3,1,-1.1,4,-2
S02000310,S02000692,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000310,S02000784,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000310,S02000989,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02000993,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000310,S02000994,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000310,S02001000,5,0,0,8,-5,-5,3,13,8,4,0.5,6,-0.2,2,-1.6,7,0.2
S02000310,S02001007,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000310,S02001010,9,0,0,5,-9,-9,-4,14,5,4,2.2,6,1.2,3,-1.6,8,-1.1
S02000310,S02001013,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000310,S02001015,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000310,S02001159,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000310,S02001185,4,0,3,0,-1,-4,-4,7,3,2,1.2,3,0.6,1,1.5,4,-0.5
S02000311,S02000278,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000310,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000311,S02000311,17,6,0,43,-17,-11,26,66,49,21,-0.8,28,-1,12,-3.5,38,0.8
S02000311,S02000312,3,3,5,16,2,0,13,27,24,8,-1.9,11,-1.6,5,0,16,1.4
S02000311,S02000313,5,0,4,42,-1,-5,37,51,46,16,-2.7,22,-3.6,9,-1.8,29,3.1
S02000311,S02000314,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000311,S02000316,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000311,S02000317,6,4,0,9,-6,-2,3,19,13,6,0,8,0.7,4,-1.9,11,-0.6
S02000311,S02000318,11,0,0,19,-11,-11,8,30,19,9,0.5,13,-0.5,6,-2.4,17,0.4
S02000311,S02000319,6,0,0,6,-6,-6,0,12,6,4,1.2,5,0.4,2,-1.5,7,-0.3
S02000311,S02000320,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000311,S02000321,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000311,S02000322,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000311,S02000323,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000311,S02000324,4,0,0,27,-4,-4,23,31,27,10,-1.8,13,-2.5,6,-2.4,18,2.2
S02000311,S02000325,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000326,3,0,0,4,-3,-3,1,7,4,2,0.6,3,0,1,-1.1,4,0
S02000311,S02000327,7,0,0,22,-7,-7,15,29,22,9,-0.7,12,-1.5,5,-2.3,17,1.3
S02000311,S02000328,13,0,3,13,-10,-13,0,29,16,9,1.3,12,0.2,5,-1,17,-0.2
S02000311,S02000587,3,3,0,0,-3,0,-3,6,3,2,0.8,3,2.2,1,-1.1,3,-1.9
S02000311,S02000588,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000311,S02000590,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000594,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000311,S02000596,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000597,4,0,0,18,-4,-4,14,22,18,7,-1.1,9,-1.8,4,-2,13,1.5
S02000311,S02000599,14,3,0,6,-14,-11,-8,23,9,7,2.6,10,2.3,4,-2.1,13,-2
S02000311,S02000602,3,3,0,9,-3,0,6,15,12,5,-0.8,6,-0.2,3,-1.7,9,0.1
S02000311,S02000603,0,0,0,10,0,0,10,10,10,3,-1.8,4,-2.1,2,-1.4,6,1.8
S02000311,S02000607,27,0,0,0,-27,-27,-27,27,0,8,6.4,11,4.6,5,-2.2,16,-3.9
S02000311,S02000609,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000311,S02000610,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000311,S02000611,0,3,0,6,0,3,6,9,9,3,-1.7,4,-0.4,2,-1.3,5,0.4
S02000311,S02000612,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000311,S02000614,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000615,0,3,0,4,0,3,4,7,7,2,-1.5,3,0,1,-1.1,4,0
S02000311,S02000625,0,0,0,8,0,0,8,8,8,2,-1.6,3,-1.8,1,-1.2,5,1.6
S02000311,S02000627,8,0,0,5,-8,-8,-3,13,5,4,2,6,1.1,2,-1.6,7,-0.9
S02000311,S02000628,13,0,0,3,-13,-13,-10,16,3,5,3.6,7,2.4,3,-1.7,9,-2
S02000311,S02000629,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000631,4,3,4,3,0,-1,-1,14,10,4,-0.2,6,0.4,3,0.9,8,-0.4
S02000311,S02000633,0,0,0,10,0,0,10,10,10,3,-1.8,4,-2.1,2,-1.4,6,1.8
S02000311,S02000634,10,5,4,11,-6,-5,1,30,20,9,0.2,13,0.6,6,-0.7,17,-0.5
S02000311,S02000635,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000637,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000311,S02000638,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000311,S02000642,4,0,0,3,-4,-4,-1,7,3,2,1.2,3,0.6,1,-1.1,4,-0.5
S02000311,S02000644,3,0,4,5,1,-3,2,12,9,4,-0.4,5,-0.9,2,1.2,7,0.8
S02000311,S02000651,3,0,15,5,12,-3,2,23,20,7,-1.6,10,-2.2,4,5.2,13,1.9
S02000311,S02000655,37,21,157,63,120,-16,26,278,241,87,-5.3,118,-5.5,51,14.7,160,4.8
S02000311,S02000656,0,7,0,3,0,7,3,10,10,3,-1.8,4,1.3,2,-1.4,6,-1.1
S02000311,S02000658,30,0,25,87,-5,-30,57,142,112,44,-2.1,60,-3.9,26,-0.2,82,3.4
S02000311,S02000659,0,0,5,0,5,0,0,5,5,2,-1.2,2,-1.5,1,4.2,3,1.3
S02000311,S02000660,25,4,6,12,-19,-21,-13,47,22,15,2.7,20,2,9,-0.9,27,-1.7
S02000311,S02000661,10,0,7,5,-3,-10,-5,22,12,7,1.2,9,0.2,4,1.5,13,-0.2
S02000311,S02000664,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000311,S02000665,0,0,8,8,8,0,8,16,16,5,-2.2,7,-2.6,3,2.9,9,2.2
S02000311,S02000666,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000311,S02000668,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000311,S02000669,0,0,6,3,6,0,3,9,9,3,-1.7,4,-2,2,3.4,5,1.7
S02000311,S02000670,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000311,S02000672,5,0,3,33,-2,-5,28,41,36,13,-2.2,17,-3,8,-1.7,24,2.6
S02000311,S02000676,0,0,4,6,4,0,6,10,10,3,-1.8,4,-2.1,2,1.6,6,1.8
S02000311,S02000684,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000311,S02000689,7,0,0,6,-7,-7,-1,13,6,4,1.5,6,0.6,2,-1.6,7,-0.5
S02000311,S02000691,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000311,S02000692,0,3,0,3,0,3,3,6,6,2,-1.4,3,0.3,1,-1.1,3,-0.2
S02000311,S02000695,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000311,S02000716,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000993,8,0,0,0,-8,-8,-8,8,0,2,3.5,3,2.5,1,-1.2,5,-2.1
S02000311,S02000994,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000311,S02000997,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000311,S02000999,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000311,S02001000,6,0,5,13,-1,-6,7,24,18,7,-0.5,10,-1.3,4,0.3,14,1.1
S02000311,S02001002,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000311,S02001010,16,3,5,10,-11,-13,-6,34,18,11,1.7,14,1.2,6,-0.5,20,-1
S02000311,S02001013,3,9,4,14,1,6,11,30,27,9,-2.1,13,-0.2,6,-0.7,17,0.2
S02000311,S02001015,0,5,3,0,3,5,0,8,8,2,-1.6,3,0.9,1,1.2,5,-0.7
S02000311,S02001153,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000311,S02001162,0,3,0,7,0,3,7,10,10,3,-1.8,4,-0.6,2,-1.4,6,0.5
S02000311,S02001185,3,0,4,5,1,-3,2,12,9,4,-0.4,5,-0.9,2,1.2,7,0.8
S02000312,S02000281,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000312,S02000311,6,3,0,18,-6,-3,12,27,21,8,-0.8,11,-0.7,5,-2.2,16,0.6
S02000312,S02000312,3,0,0,13,-3,-3,10,16,13,5,-0.9,7,-1.5,3,-1.7,9,1.3
S02000312,S02000313,4,0,3,26,-1,-4,22,33,29,10,-2,14,-2.7,6,-1.3,19,2.3
S02000312,S02000316,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000312,S02000317,3,5,0,7,-3,2,4,15,12,5,-0.8,6,0.6,3,-1.7,9,-0.6
S02000312,S02000318,0,0,0,13,0,0,13,13,13,4,-2,6,-2.4,2,-1.6,7,2
S02000312,S02000319,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000312,S02000323,0,0,0,6,0,0,6,6,6,2,-1.4,3,-1.6,1,-1.1,3,1.4
S02000312,S02000324,6,0,0,11,-6,-6,5,17,11,5,0.3,7,-0.5,3,-1.8,10,0.4
S02000312,S02000326,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000312,S02000327,0,0,0,8,0,0,8,8,8,2,-1.6,3,-1.8,1,-1.2,5,1.6
S02000312,S02000328,5,0,0,8,-5,-5,3,13,8,4,0.5,6,-0.2,2,-1.6,7,0.2
S02000312,S02000587,0,3,0,3,0,3,3,6,6,2,-1.4,3,0.3,1,-1.1,3,-0.2
S02000312,S02000588,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000312,S02000590,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000312,S02000593,0,3,0,3,0,3,3,6,6,2,-1.4,3,0.3,1,-1.1,3,-0.2
S02000312,S02000597,0,0,0,13,0,0,13,13,13,4,-2,6,-2.4,2,-1.6,7,2
S02000312,S02000599,5,4,3,0,-2,-1,-5,12,7,4,0.7,5,1.7,2,0.5,7,-1.5
S02000312,S02000601,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000312,S02000607,13,0,0,0,-13,-13,-13,13,0,4,4.4,6,3.2,2,-1.6,7,-2.7
S02000312,S02000609,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000312,S02000611,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000312,S02000616,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000312,S02000622,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000312,S02000624,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000312,S02000625,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000312,S02000627,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000312,S02000628,4,0,0,0,-4,-4,-4,4,0,1,2.5,2,1.8,1,-0.9,2,-1.5
S02000312,S02000631,0,4,0,0,0,4,0,4,4,1,-1.1,2,1.8,1,-0.9,2,-1.5
S02000312,S02000634,0,0,4,3,4,0,3,7,7,2,-1.5,3,-1.7,1,2.4,4,1.5
S02000312,S02000635,0,3,0,3,0,3,3,6,6,2,-1.4,3,0.3,1,-1.1,3,-0.2
S02000312,S02000642,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000312,S02000644,6,3,3,0,-3,-3,-6,12,6,4,1.2,5,1.7,2,0.5,7,-1.5
S02000312,S02000651,0,0,3,4,3,0,4,7,7,2,-1.5,3,-1.7,1,1.5,4,1.5
S02000312,S02000655,19,6,92,36,73,-13,17,153,134,48,-4.2,65,-5,28,12,88,4.3
S02000312,S02000656,5,3,0,5,-5,-2,0,13,8,4,0.5,6,1.1,2,-1.6,7,-0.9
S02000312,S02000658,12,0,21,46,9,-12,34,79,67,25,-2.5,34,-3.7,15,1.7,45,3.2
S02000312,S02000660,9,0,4,0,-5,-9,-9,13,4,4,2.5,6,1.5,2,1,7,-1.3
S02000312,S02000661,7,0,10,9,3,-7,2,26,19,8,-0.4,11,-1.2,5,2.4,15,1
S02000312,S02000665,0,3,6,0,6,3,0,9,9,3,-1.7,4,-0.4,2,3.4,5,0.4
