source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp
S12000034,S12000036,39,5,29,29,-10,-34,-10
S12000034,S12000038,0,6,0,4,0,6,4
S12000034,S12000040,0,3,0,4,0,3,4
S12000034,S12000041,286,204,92,312,-194,-82,26
S12000034,S12000042,40,11,12,50,-28,-29,10
S12000034,S12000046,20,6,12,17,-8,-14,-3
S12000035,S12000006,0,3,0,9,0,3,9
S12000035,S12000008,12,0,0,0,-12,-12,-12
S12000035,S12000011,8,6,3,6,-5,-2,-2
S12000035,S12000013,14,0,3,6,-11,-14,-8
S12000035,S12000014,9,8,4,3,-5,-1,-6
S12000035,S12000015,24,5,4,4,-20,-19,-20
S12000035,S12000017,91,43,13,39,-78,-48,-52
S12000035,S12000018,180,45,63,133,-117,-135,-47
S12000035,S12000019,0,3,0,0,0,3,0
S12000035,S12000020,41,8,0,27,-41,-33,-14
S12000035,S12000021,14,8,5,8,-9,-6,-6
S12000035,S12000023,9,0,0,3,-9,-9,-6
S12000035,S12000024,7,6,0,3,-7,-1,-4
S12000035,S12000028,8,0,3,4,-5,-8,-4
S12000035,S12000029,33,17,16,13,-17,-16,-20
S12000035,S12000030,32,7,4,49,-28,-25,17
S12000035,S12000033,24,9,6,12,-18,-15,-12
S12000035,S12000034,8,0,6,4,-2,-8,-4
S12000035,S12000035,10937,3048,2703,8787,-8234,-7889,-2150
S12000035,S12000036,36,8,28,14,-8,-28,-22
S12000035,S12000038,212,84,60,125,-152,-128,-87
S12000035,S12000039,566,168,141,380,-425,-398,-186
S12000035,S12000040,6,8,5,4,-1,2,-2
S12000035,S12000041,11,0,0,0,-11,-11,-11
S12000035,S12000042,0,0,3,4,3,0,4
S12000035,S12000044,18,19,11,14,-7,1,-4
S12000035,S12000045,19,18,15,32,-4,-1,13
S12000035,S12000046,666,187,576,619,-90,-479,-47
S12000036,S12000005,22,33,15,29,-7,11,7
S12000036,S12000006,22,5,8,8,-14,-17,-14
S12000036,S12000008,3,3,0,0,-3,0,-3
S12000036,S12000010,1218,531,724,1880,-494,-687,662
S12000036,S12000011,6,4,0,0,-6,-2,-6
S12000036,S12000014,303,320,127,248,-176,17,-55
S12000036,S12000015,986,615,635,727,-351,-371,-259
S12000036,S12000017,19,15,8,26,-11,-4,7
S12000036,S12000018,6,3,6,0,0,-3,-6
S12000036,S12000019,1417,917,1092,1915,-325,-500,498
S12000036,S12000020,8,8,0,4,-8,0,-4
S12000036,S12000021,3,8,4,3,1,5,0
S12000036,S12000023,4,0,4,0,0,-4,-4
S12000036,S12000024,142,58,56,93,-86,-84,-49
S12000036,S12000026,207,58,71,208,-136,-149,1
S12000036,S12000027,0,5,0,0,0,5,0
S12000036,S12000028,8,5,3,13,-5,-3,5
S12000036,S12000029,121,86,60,71,-61,-35,-50
S12000036,S12000030,196,65,201,279,5,-131,83
S12000036,S12000033,40,104,58,75,18,64,35
S12000036,S12000034,5,17,13,11,8,12,6
S12000036,S12000035,36,7,3,6,-33,-29,-30
S12000036,S12000036,50380,11941,50544,58699,164,-38439,8319
S12000036,S12000038,52,30,22,18,-30,-22,-34
S12000036,S12000039,14,5,5,3,-9,-9,-11
S12000036,S12000040,1736,1109,1245,1601,-491,-627,-135
S12000036,S12000041,12,5,8,6,-4,-7,-6
S12000036,S12000042,74,34,68,110,-6,-40,36
S12000036,S12000044,166,207,116,85,-50,41,-81
S12000036,S12000045,15,10,30,9,15,-5,-6
S12000036,S12000046,496,196,899,577,403,-300,81
S12000038,S12000005,0,10,0,3,0,10,3
S12000038,S12000006,7,3,3,4,-4,-4,-3
S12000038,S12000008,99,46,26,84,-73,-53,-15
S12000038,S12000010,4,4,5,5,1,0,1
S12000038,S12000011,574,190,147,521,-427,-384,-53
S12000038,S12000014,26,76,11,34,-15,50,8
S12000038,S12000015,27,35,6,10,-21,8,-17
S12000038,S12000017,10,3,6,9,-4,-7,-1
S12000038,S12000018,851,227,400,610,-451,-624,-241
S12000038,S12000019,8,3,0,7,-8,-5,-1
S12000038,S12000020,7,0,0,0,-7,-7,-7
S12000038,S12000021,258,202,72,244,-186,-56,-14
S12000038,S12000024,7,9,0,8,-7,2,1
S12000038,S12000026,0,3,0,0,0,3,0
S12000038,S12000027,0,10,0,0,0,10,0
S12000038,S12000028,91,71,27,115,-64,-20,24
S12000038,S12000029,354,389,200,320,-154,35,-34
S12000038,S12000030,31,27,27,72,-4,-4,41
S12000038,S12000033,14,44,25,13,11,30,-1
S12000038,S12000034,7,9,0,7,-7,2,0
S12000038,S12000035,216,43,45,74,-171,-173,-142
S12000038,S12000036,70,52,130,76,60,-18,6
S12000038,S12000038,13161,6493,3739,13582,-9422,-6668,421
S12000038,S12000039,630,228,240,335,-390,-402,-295
S12000038,S12000040,32,57,39,32,7,25,0
S12000038,S12000041,7,3,0,3,-7,-4,-4
S12000038,S12000042,3,8,0,7,-3,5,4
S12000038,S12000044,274,350,162,214,-112,76,-60
S12000038,S12000045,125,87,110,144,-15,-38,19
S12000038,S12000046,7965,2887,5825,5880,-2140,-5078,-2085
S12000039,S12000005,5,4,0,0,-5,-1,-5
S12000039,S12000008,5,13,0,5,-5,8,0
S12000039,S12000011,19,18,8,31,-11,-1,12
S12000039,S12000014,13,34,8,11,-5,21,-2
S12000039,S12000015,14,12,11,7,-3,-2,-7
S12000039,S12000017,4,7,0,3,-4,3,-1
S12000039,S12000018,103,34,55,89,-48,-69,-14
S12000039,S12000019,9,3,0,3,-9,-6,-6
S12000039,S12000021,22,17,14,17,-8,-5,-5
S12000039,S12000024,0,6,3,4,3,6,4
S12000039,S12000028,10,20,4,12,-6,10,2
S12000039,S12000029,105,125,58,136,-47,20,31
S12000039,S12000030,85,40,23,146,-62,-45,61
S12000039,S12000033,10,12,11,7,1,2,-3
S12000039,S12000034,5,0,0,0,-5,-5,-5
S12000039,S12000035,1674,308,512,540,-1162,-1366,-1134
S12000039,S12000036,39,16,45,13,6,-23,-26
S12000039,S12000038,651,493,256,511,-395,-158,-140
S12000039,S12000039,6112,2399,1692,6063,-4420,-3713,-49
S12000039,S12000040,25,28,20,9,-5,3,-16
S12000039,S12000041,4,0,0,0,-4,-4,-4
S12000039,S12000042,3,8,3,6,0,5,3
S12000039,S12000044,101,145,62,109,-39,44,8
S12000039,S12000045,263,121,122,310,-141,-142,47
S12000039,S12000046,4007,1633,2422,2917,-1585,-2374,-1090
S12000040,S12000005,38,35,15,22,-23,-3,-16
S12000040,S12000006,3,6,0,0,-3,3,-3
S12000040,S12000008,7,18,4,0,-3,11,-7
S12000040,S12000010,73,60,57,107,-16,-13,34
S12000040,S12000011,4,3,3,3,-1,-1,-1
S12000040,S12000014,642,616,230,640,-412,-26,-2
S12000040,S12000015,241,310,228,195,-13,69,-46
S12000040,S12000017,8,9,0,7,-8,1,-1
S12000040,S12000018,5,9,0,0,-5,4,-5
S12000040,S12000019,213,190,143,170,-70,-23,-43
S12000040,S12000020,7,5,0,0,-7,-2,-7
S12000040,S12000021,0,4,0,0,0,4,0
S12000040,S12000024,32,32,17,30,-15,0,-2
S12000040,S12000026,20,14,5,21,-15,-6,1
S12000040,S12000028,6,7,3,3,-3,1,-3
S12000040,S12000029,238,222,110,138,-128,-16,-100
S12000040,S12000030,177,95,121,168,-56,-82,-9
S12000040,S12000033,19,43,18,18,-1,24,-1
S12000040,S12000034,4,12,3,6,-1,8,2
S12000040,S12000035,20,5,5,0,-15,-15,-20
S12000040,S12000036,6296,2099,6592,4632,296,-4197,-1664
S12000040,S12000038,54,58,24,25,-30,4,-29
S12000040,S12000039,16,7,12,5,-4,-9,-11
S12000040,S12000040,13706,8567,6772,15149,-6934,-5139,1443
S12000040,S12000041,6,3,0,0,-6,-3,-6
S12000040,S12000042,16,9,13,22,-3,-7,6
S12000040,S12000044,609,521,235,427,-374,-88,-182
S12000040,S12000045,18,19,23,21,5,1,3
S12000040,S12000046,476,281,604,457,128,-195,-19
S12000041,S12000005,0,0,3,5,3,0,5
S12000041,S12000010,0,0,0,3,0,0,3
S12000041,S12000014,7,6,4,3,-3,-1,-4
S12000041,S12000015,142,69,38,138,-104,-73,-4
S12000041,S12000017,13,4,0,8,-13,-9,-5
S12000041,S12000019,0,0,0,3,0,0,3
S12000041,S12000020,26,6,0,0,-26,-20,-26
S12000041,S12000023,3,0,0,0,-3,-3,-3
S12000041,S12000024,451,258,195,330,-256,-193,-121
S12000041,S12000027,4,0,0,0,-4,-4,-4
S12000041,S12000029,0,4,0,0,0,4,0
S12000041,S12000030,13,8,7,18,-6,-5,5
S12000041,S12000033,518,711,392,458,-126,193,-60
S12000041,S12000034,433,562,201,329,-232,129,-104
S12000041,S12000035,27,0,0,4,-27,-27,-23
S12000041,S12000036,46,20,46,29,0,-26,-17
S12000041,S12000038,3,7,0,5,-3,4,2
S12000041,S12000040,10,4,9,9,-1,-6,-1
S12000041,S12000041,9191,5515,2078,9356,-7113,-3676,165
S12000041,S12000042,4479,1644,1676,3830,-2803,-2835,-649
S12000041,S12000044,6,11,7,7,1,5,1
S12000041,S12000046,18,11,11,19,-7,-7,1
S12000042,S12000005,5,3,5,0,0,-2,-5
S12000042,S12000014,11,11,0,3,-11,0,-8
S12000042,S12000015,477,236,156,603,-321,-241,126
S12000042,S12000017,12,3,3,4,-9,-9,-8
S12000042,S12000019,3,0,0,0,-3,-3,-3
S12000042,S12000020,16,8,0,0,-16,-8,-16
S12000042,S12000021,3,0,0,0,-3,-3,-3
S12000042,S12000024,840,506,446,515,-394,-334,-325
S12000042,S12000029,8,5,4,0,-4,-3,-8
S12000042,S12000030,21,14,12,39,-9,-7,18
S12000042,S12000033,73,180,75,94,2,107,21
S12000042,S12000034,31,67,22,26,-9,36,-5
S12000042,S12000035,14,0,0,3,-14,-14,-11
S12000042,S12000036,71,36,93,54,22,-35,-17
S12000042,S12000038,4,0,0,0,-4,-4,-4
S12000042,S12000040,8,16,9,28,1,8,20
S12000042,S12000041,1138,527,243,1083,-895,-611,-55
S12000042,S12000042,15613,5718,6044,17935,-9569,-9895,2322
S12000042,S12000044,4,13,3,4,-1,9,0
S12000042,S12000045,0,0,3,0,3,0,0
S12000042,S12000046,24,13,20,28,-4,-11,4
S12000044,S12000005,51,66,22,61,-29,15,10
S12000044,S12000006,22,20,6,21,-16,-2,-1
S12000044,S12000008,54,59,13,32,-41,5,-22
S12000044,S12000010,9,12,11,17,2,3,8
S12000044,S12000011,64,56,36,77,-28,-8,13
S12000044,S12000014,716,668,258,785,-458,-48,69
S12000044,S12000015,98,145,48,75,-50,47,-23
S12000044,S12000017,27,14,0,6,-27,-13,-21
S12000044,S12000018,35,27,28,24,-7,-8,-11
S12000044,S12000019,33,29,27,42,-6,-4,9
S12000044,S12000020,4,6,0,0,-4,2,-4
S12000044,S12000021,19,30,10,19,-9,11,0
S12000044,S12000023,4,3,0,0,-4,-1,-4
S12000044,S12000024,31,27,9,31,-22,-4,0
S12000044,S12000026,0,7,0,10,0,7,10
S12000044,S12000027,0,10,4,0,4,10,0
S12000044,S12000028,52,49,13,51,-39,-3,-1
S12000044,S12000029,5176,3597,1911,3962,-3265,-1579,-1214
S12000044,S12000030,383,197,250,493,-133,-186,110
S12000044,S12000033,38,110,36,17,-2,72,-21
S12000044,S12000034,8,21,5,5,-3,13,-3
S12000044,S12000035,76,20,19,6,-57,-56,-70
S12000044,S12000036,677,411,1003,478,326,-266,-199
S12000044,S12000038,545,507,249,379,-296,-38,-166
S12000044,S12000039,203,106,83,83,-120,-97,-120
S12000044,S12000040,1031,1060,739,1195,-292,29,164
S12000044,S12000041,4,3,0,4,-4,-1,0
S12000044,S12000042,12,11,11,25,-1,-1,13
S12000044,S12000044,25790,12602,7950,24759,-17840,-13188,-1031
S12000044,S12000045,782,518,425,754,-357,-264,-28
S12000044,S12000046,10400,3481,7946,7687,-2454,-6919,-2713
S12000045,S12000005,25,16,0,11,-25,-9,-14
S12000045,S12000006,5,0,0,4,-5,-5,-1
S12000045,S12000008,36,20,6,9,-30,-16,-27
S12000045,S12000010,0,0,0,4,0,0,4
S12000045,S12000011,33,33,24,70,-9,0,37
S12000045,S12000013,3,0,0,0,-3,-3,-3
S12000045,S12000014,128,122,64,144,-64,-6,16
S12000045,S12000015,29,34,18,23,-11,5,-6
S12000045,S12000017,0,4,0,3,0,4,3
S12000045,S12000018,67,24,43,47,-24,-43,-20
S12000045,S12000019,6,10,6,5,0,4,-1
S12000045,S12000020,3,3,0,0,-3,0,-3
S12000045,S12000021,17,20,9,22,-8,3,5
S12000045,S12000024,14,7,3,19,-11,-7,5
S12000045,S12000028,27,13,8,18,-19,-14,-9
S12000045,S12000029,320,280,151,259,-169,-40,-61
S12000045,S12000030,171,87,94,196,-77,-84,25
S12000045,S12000033,14,15,18,17,4,1,3
S12000045,S12000034,0,3,0,0,0,3,0
S12000045,S12000035,74,21,35,38,-39,-53,-36
S12000045,S12000036,131,60,310,91,179,-71,-40
S12000045,S12000038,483,366,196,430,-287,-117,-53
S12000045,S12000039,541,163,244,423,-297,-378,-118
S12000045,S12000040,42,61,50,51,8,19,9
S12000045,S12000042,6,5,4,12,-2,-1,6
S12000045,S12000044,891,559,348,782,-543,-332,-109
S12000045,S12000045,2876,1285,1385,4695,-1491,-1591,1819
S12000045,S12000046,7689,2147,5276,6613,-2413,-5542,-1076
S12000046,S12000005,14,45,7,45,-7,31,31
S12000046,S12000006,53,22,16,31,-37,-31,-22
S12000046,S12000008,412,85,72,226,-340,-327,-186
S12000046,S12000010,11,10,8,31,-3,-1,20
S12000046,S12000011,1196,451,331,1569,-865,-745,373
S12000046,S12000013,5,3,0,4,-5,-2,-1
S12000046,S12000014,213,298,109,257,-104,85,44
S12000046,S12000015,99,136,38,60,-61,37,-39
S12000046,S12000017,18,13,10,27,-8,-5,9
S12000046,S12000018,417,120,241,338,-176,-297,-79
S12000046,S12000019,30,19,18,16,-12,-11,-14
S12000046,S12000020,9,6,0,3,-9,-3,-6
S12000046,S12000021,212,136,98,231,-114,-76,19
S12000046,S12000023,0,4,0,0,0,4,0
S12000046,S12000024,45,37,11,59,-34,-8,14
S12000046,S12000026,0,0,0,5,0,0,5
S12000046,S12000027,5,11,4,4,-1,6,-1
S12000046,S12000028,299,123,88,292,-211,-176,-7
S12000046,S12000029,2731,1879,1201,2827,-1530,-852,96
S12000046,S12000030,292,111,195,399,-97,-181,107
S12000046,S12000033,42,93,42,38,0,51,-4
S12000046,S12000034,8,12,10,8,2,4,0
S12000046,S12000035,279,109,85,127,-194,-170,-152
S12000046,S12000036,640,255,1124,464,484,-385,-176
S12000046,S12000038,3307,2268,1472,3615,-1835,-1039,308
S12000046,S12000039,1644,512,707,1424,-937,-1132,-220
S12000046,S12000040,209,235,250,295,41,26,86
S12000046,S12000041,11,4,0,3,-11,-7,-8
S12000046,S12000042,25,15,12,43,-13,-10,18
S12000046,S12000044,2487,1645,1139,2273,-1348,-842,-214
S12000046,S12000045,1148,631,939,1757,-209,-517,609
S12000046,S12000046,53850,15926,35258,60123,-18592,-37924,6273
