source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp
S12000011,S12000034,0,4,0,6,0,4,6
S12000011,S12000035,42,11,19,19,-23,-31,-23
S12000011,S12000036,80,39,186,61,106,-41,-19
S12000011,S12000038,1492,722,480,1188,-1012,-770,-304
S12000011,S12000039,124,54,66,79,-58,-70,-45
S12000011,S12000040,22,44,32,36,10,22,14
S12000011,S12000042,0,0,0,9,0,0,9
S12000011,S12000044,307,244,143,216,-164,-63,-91
S12000011,S12000045,59,38,58,91,-1,-21,32
S12000011,S12000046,5665,1701,4823,6152,-842,-3964,487
S12000013,S12000013,3954,1312,960,2932,-2994,-2642,-1022
S12000013,S12000015,4,0,0,0,-4,-4,-4
S12000013,S12000017,38,14,6,21,-32,-24,-17
S12000013,S12000018,21,3,3,0,-18,-18,-21
S12000013,S12000020,5,0,0,4,-5,-5,-1
S12000013,S12000023,4,0,0,0,-4,-4,-4
S12000013,S12000027,7,0,0,0,-7,-7,-7
S12000013,S12000030,0,0,0,4,0,0,4
S12000013,S12000033,39,21,13,18,-26,-18,-21
S12000013,S12000034,7,4,6,0,-1,-3,-7
S12000013,S12000035,33,3,0,5,-33,-30,-28
S12000013,S12000036,7,0,0,5,-7,-7,-2
S12000013,S12000046,18,8,8,12,-10,-10,-6
S12000014,S12000005,402,193,78,246,-324,-209,-156
S12000014,S12000006,0,6,0,0,0,6,0
S12000014,S12000008,9,4,3,0,-6,-5,-9
S12000014,S12000010,28,17,28,47,0,-11,19
S12000014,S12000011,13,3,4,3,-9,-10,-10
S12000014,S12000014,12806,8208,3552,13227,-9254,-4598,421
S12000014,S12000015,378,340,176,265,-202,-38,-113
S12000014,S12000017,12,10,4,6,-8,-2,-6
S12000014,S12000018,7,0,4,3,-3,-7,-4
S12000014,S12000019,60,58,49,63,-11,-2,3
S12000014,S12000020,10,5,0,0,-10,-5,-10
S12000014,S12000021,6,4,0,0,-6,-2,-6
S12000014,S12000024,61,69,19,95,-42,8,34
S12000014,S12000026,6,7,0,7,-6,1,1
S12000014,S12000027,0,7,3,0,3,7,0
S12000014,S12000028,8,4,4,8,-4,-4,0
S12000014,S12000029,142,143,67,109,-75,1,-33
S12000014,S12000030,2482,831,1397,1719,-1085,-1651,-763
S12000014,S12000033,26,74,29,18,3,48,-8
S12000014,S12000034,3,9,0,4,-3,6,1
S12000014,S12000035,41,8,6,7,-35,-33,-34
S12000014,S12000036,1932,637,2575,1242,643,-1295,-690
S12000014,S12000038,67,78,37,38,-30,11,-29
S12000014,S12000039,23,15,10,10,-13,-8,-13
S12000014,S12000040,1121,763,711,1058,-410,-358,-63
S12000014,S12000041,5,0,0,0,-5,-5,-5
