source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000008,S12000044,132,156,64,97,-68,24,-35,449,150.3,-18.3,-1.50
S12000008,S12000045,18,18,10,19,-8,0,1,65,21.8,-3.8,-0.81
S12000008,S12000046,1773,670,1474,1383,-299,-1103,-390,5300,1774.7,-1.7,-0.04
S12000010,S12000005,0,5,0,0,0,5,0,5,1.7,-1.7,-1.29
S12000010,S12000010,5939,2623,1662,6557,-4277,-3316,618,16781,5619.0,320.0,4.27
S12000010,S12000014,27,24,13,13,-14,-3,-14,77,25.8,1.2,0.24
S12000010,S12000015,52,62,31,43,-21,10,-9,188,63.0,-11.0,-1.38
S12000010,S12000017,6,0,3,8,-3,-6,2,17,5.7,0.3,0.13
S12000010,S12000018,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000010,S12000019,704,379,295,672,-409,-325,-32,2050,686.4,17.6,0.67
S12000010,S12000020,0,3,0,4,0,3,4,7,2.3,-2.3,-1.53
S12000010,S12000021,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000010,S12000024,10,6,4,6,-6,-4,-4,26,8.7,1.3,0.44
S12000010,S12000026,126,43,41,113,-85,-83,-13,323,108.2,17.8,1.72
S12000010,S12000028,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000010,S12000029,16,24,6,28,-10,8,12,74,24.8,-8.8,-1.76
S12000010,S12000030,9,7,17,30,8,-2,21,63,21.1,-12.1,-2.63
S12000010,S12000033,7,10,6,7,-1,3,0,30,10.0,-3.0,-0.96
S12000010,S12000034,4,4,0,0,-4,0,-4,8,2.7,1.3,0.81
S12000010,S12000035,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000010,S12000036,6154,1459,5371,4922,-783,-4695,-1232,17906,5995.7,158.3,2.04
S12000010,S12000038,9,5,0,0,-9,-4,-9,14,4.7,4.3,1.99
S12000010,S12000040,132,116,101,116,-31,-16,-16,465,155.7,-23.7,-1.90
S12000010,S12000041,4,3,0,0,-4,-1,-4,7,2.3,1.7,1.08
S12000010,S12000042,0,0,4,5,4,0,5,9,3.0,-3.0,-1.74
S12000010,S12000044,33,26,12,15,-21,-7,-18,86,28.8,4.2,0.78
S12000010,S12000045,4,4,0,0,-4,0,-4,8,2.7,1.3,0.81
S12000010,S12000046,58,24,68,54,10,-34,-4,204,68.3,-10.3,-1.25
S12000011,S12000005,7,8,0,8,-7,1,1,23,7.7,-0.7,-0.25
S12000011,S12000006,7,0,0,7,-7,-7,0,14,4.7,2.3,1.07
S12000011,S12000008,231,49,61,152,-170,-182,-79,493,165.1,65.9,5.13
S12000011,S12000011,1940,601,600,3400,-1340,-1339,1460,6541,2190.2,-250.2,-5.35
S12000011,S12000014,24,51,11,24,-13,27,0,110,36.8,-12.8,-2.11
S12000011,S12000015,16,8,8,11,-8,-8,-5,43,14.4,1.6,0.42
S12000011,S12000017,3,0,0,4,-3,-3,1,7,2.3,0.7,0.43
S12000011,S12000018,109,19,61,105,-48,-90,-4,294,98.4,10.6,1.06
S12000011,S12000021,101,48,17,71,-84,-53,-30,237,79.4,21.6,2.43
S12000011,S12000023,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000011,S12000024,8,8,0,6,-8,0,-2,22,7.4,0.6,0.23
S12000011,S12000026,0,4,0,0,0,4,0,4,1.3,-1.3,-1.16
S12000011,S12000028,100,44,24,126,-76,-56,26,294,98.4,1.6,0.16
S12000011,S12000029,838,477,417,807,-421,-361,-31,2539,850.2,-12.2,-0.42
S12000011,S12000030,16,18,30,36,14,2,20,100,33.5,-17.5,-3.02
S12000011,S12000033,9,20,11,5,2,11,-4,45,15.1,-6.1,-1.56
S12000011,S12000034,0,4,0,6,0,4,6,10,3.3,-3.3,-1.83
S12000011,S12000035,42,11,19,19,-23,-31,-23,91,30.5,11.5,2.09
S12000011,S12000036,80,39,186,61,106,-41,-19,366,122.6,-42.6,-3.84
S12000011,S12000038,1492,722,480,1188,-1012,-770,-304,3882,1299.9,192.1,5.33
S12000011,S12000039,124,54,66,79,-58,-70,-45,323,108.2,15.8,1.52
S12000011,S12000040,22,44,32,36,10,22,14,134,44.9,-22.9,-3.41
S12000011,S12000042,0,0,0,9,0,0,9,9,3.0,-3.0,-1.74
S12000011,S12000044,307,244,143,216,-164,-63,-91,910,304.7,2.3,0.13
S12000011,S12000045,59,38,58,91,-1,-21,32,246,82.4,-23.4,-2.58
S12000011,S12000046,5665,1701,4823,6152,-842,-3964,487,18341,6141.3,-476.3,-6.08
S12000013,S12000013,3954,1312,960,2932,-2994,-2642,-1022,9158,3066.5,887.5,16.03
S12000013,S12000015,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000013,S12000017,38,14,6,21,-32,-24,-17,79,26.5,11.5,2.25
S12000013,S12000018,21,3,3,0,-18,-18,-21,27,9.0,12.0,3.98
S12000013,S12000020,5,0,0,4,-5,-5,-1,9,3.0,2.0,1.14
S12000013,S12000023,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000013,S12000027,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000013,S12000030,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000013,S12000033,39,21,13,18,-26,-18,-21,91,30.5,8.5,1.55
S12000013,S12000034,7,4,6,0,-1,-3,-7,17,5.7,1.3,0.55
