regionCode,regionName,council,gridX,gridY
S02000656,Govan and Linthouse,Glasgow City,7,10
S02000657,Carntyne,Glasgow City,15,8
S02000658,City Centre East,Glasgow City,13,9
S02000659,Dennistoun North and Alexandra Parade,Glasgow City,14,8
S02000660,Drumoyne and Shieldhall,Glasgow City,6,9
S02000661,Finnieston and Kelvinhaugh,Glasgow City,11,9
S02000662,Central Easterhouse,Glasgow City,18,8
S02000663,Craigend and Ruchazie,Glasgow City,17,7
S02000664,Hillhead,Glasgow City,10,9
S02000665,Woodlands,Glasgow City,11,8
S02000666,"Roystonhill, Blochairn, and Provanmill",Glasgow City,15,7
S02000667,Riddrie and Hogganfield,Glasgow City,16,7
S02000668,Glasgow Harbour and  Partick South,Glasgow City,9,8
S02000669,Woodside,Glasgow City,12,8
S02000670,Sighthill,Glasgow City,14,7
S02000671,Partick,Glasgow City,10,8
S02000672,Kelvingrove and University,Glasgow City,11,7
S02000673,Whiteinch,Glasgow City,8,8
S02000674,"Garthamlock, Auchinlea and Gartloch",Glasgow City,17,6
S02000675,Firhill,Glasgow City,12,7
S02000676,Cowlairs and Port Dundas,Glasgow City,13,7
S02000677,Partickhill and Hyndland,Glasgow City,10,7
S02000678,Blackhill and Barmulloch East,Glasgow City,15,6
S02000679,Broomhill,Glasgow City,9,7
S02000680,Petershill,Glasgow City,14,6
S02000681,Dowanhill,Glasgow City,10,6
S02000682,Victoria Park,Glasgow City,8,7
S02000683,North Kelvin,Glasgow City,11,6
S02000684,Scotstoun South and West,Glasgow City,6,7
S02000685,Keppochhill,Glasgow City,12,6
S02000686,Scotstoun North and East,Glasgow City,7,7
S02000687,Barmulloch,Glasgow City,15,5
S02000688,Ruchill,Glasgow City,12,5
S02000689,Kelvinside and Jordanhill,Glasgow City,9,6
S02000690,Kelvindale,Glasgow City,10,5
S02000691,Springburn,Glasgow City,14,5
S02000692,Possil Park,Glasgow City,13,6
S02000693,Wyndford,Glasgow City,11,5
S02000694,Springburn East and Cowlairs,Glasgow City,13,5
S02000695,Robroyston and Millerston,Glasgow City,16,6
S02000696,Yoker South,Glasgow City,6,6
S02000697,Balornock,Glasgow City,15,4
S02000698,Knightswood Park East,Glasgow City,8,6
S02000699,Knightswood East,Glasgow City,7,6
S02000700,Maryhill West,Glasgow City,11,4
S02000701,Milton West,Glasgow City,13,4
S02000702,Anniesland East,Glasgow City,10,4
S02000703,Knightswood West,Glasgow City,7,5
S02000704,Maryhill East,Glasgow City,12,4
S02000705,Anniesland West,Glasgow City,9,5
S02000706,Knightswood Park West,Glasgow City,8,5
S02000707,Yoker North,Glasgow City,6,5
S02000708,Milton East,Glasgow City,13,3
S02000709,Blairdardie East,Glasgow City,9,4
S02000710,Summerston North,Glasgow City,12,3
S02000711,Blairdardie West,Glasgow City,7,4
S02000712,Drumchapel South,Glasgow City,8,4
S02000713,Summerston Central and West,Glasgow City,12,2
S02000714,Drumry West,Glasgow City,7,3
S02000715,Drumchapel North,Glasgow City,8,3
S02000716,Drumry East,Glasgow City,7,2
S02000771,Kilmacolm Central,Inverclyde,1,8
S02000772,"Kilmacolm, Quarriers, Greenock Upper East/Central",Inverclyde,1,9
S02000773,Inverkip and Wemyss Bay,Inverclyde,0,8
S02000774,Port Glasgow Upper East,Inverclyde,1,7
S02000775,"Port Glasgow Mid, East and Central",Inverclyde,1,6
S02000776,"Port Glasgow Upper, West and Central",Inverclyde,1,5
S02000777,"West Braeside, East Inverkip and West Gourock",Inverclyde,0,7
S02000778,Greenock East,Inverclyde,1,4
S02000779,"Bow Farm, Barrs Cottage, Cowdenknowes and Overton",Inverclyde,0,6
S02000780,Greenock Upper Central,Inverclyde,0,5
S02000781,Greenock Town Centre and East Central,Inverclyde,1,3
S02000782,"Braeside, Branchton, Lower Larkfield and Ravenscraig",Inverclyde,0,4
S02000783,"Lower Bow & Larkfield, Fancy Farm, Mallard Bowl",Inverclyde,0,3
S02000784,Greenock West and Central,Inverclyde,1,2
S02000785,"Gourock Central, Upper East and IRH",Inverclyde,0,2
S02000786,Gourock Upper and West Central & Upper Larkfield,Inverclyde,0,1
S02000787,"Gourock East, Greenock West and Lyle Road",Inverclyde,1,1
S02000923,Stepps,North Lanarkshire,16,5
S02000925,Chryston and Muirhead,North Lanarkshire,16,4
